,site_name,name,genus_species,genus,species,body_part,year_found,likely_age,minimum_age,maximum_age,discoverers,citation_group,notes,lon,lat
100,"Drimolen Main Quarry, South Africa",DNH 7 ,Paranthropus robustus ,Paranthropus ,robustus ,cranium,1994,NA,1.95,2.04,Andre Keyser,28,NA,-25.97124,27.79194
101,Malawi Rift,UR 501,Homo  rudolfensis ,Homo ,rudolfensis ,mandible,NA,2.4,NA,NA,NA,27,couldn’t get solid date of discovery or discoverer,-73.9090525,41.0035658
102,"Kromdraasi, South Africa",TM 1517,Paranthropus robustus ,Paranthropus,robustus ,partial cranium ,1938,1.9,1.77,1.95,Robert Broom and Gert Terblanche,31,NA,29.4788643,-24.8256341
103,"Malapa, South Africa",MH1,Australopithecus  sediba,Australopithecus ,sediba,cranium,2008,1.977,1.78,1.95,Matthew Berger ,32,NA,29.4589376,-23.9875465
104,"East Rudolf, Kenya",KNM-ER 1470,Homo rudolfensis ,Homo,rudolfensis ,cranium ,1972,1.9,NA,NA,NA,33,NA,36.0022946,3.6267946
105,"East Rudolf, Kenya",KNM-ER 1472,Homo rudolfensis ,Homo,rudolfensis ,femur,1972,NA,2.6,2.9,NA,33,NA,36.0022946,3.6267946
106,"East Rudolf, Kenya",KNM-ER 1475,Homo rudolfensis ,Homo,rudolfensis ,femur,1972,NA,2.6,2.9,NA,33,NA,36.0022946,3.6267946
107,"East Turkana, Kenya",KNM-ER 1813,Homo  habilis,Homo ,habilis,cranium,1973,1.86,1.78,1.94,Kamoyai Kimeau ,34,NA,36.0022946,3.6267946
108,"Olduvai Gorge, Tanzania ",OH 8,Homo  habilis,Homo ,habilis,feet,1960,1.7,NA,NA,Louis Leaky,35,NA,35.3534836,-2.9890143
109,"Dmanisi, Georgia",D 2700,Homo erectus,Homo,erectus,cranium,2001,1.81,1.77,1.85,David Lordkipanidze ,36,NA,44.2073125,41.3298054
110,"Dmanisi, Georgia",D 3444,Homo erectus,Homo,erectus,cranium,2002,1.81,1.77,1.85,David Lordkipanidze ,36,NA,44.2073125,41.3298054
111,"Dmanisi, Georgia",D 2280,Homo erectus,Homo,erectus,partial cranium ,1999,1.81,1.77,1.85,David Lordkipanidze ,36,NA,44.2073125,41.3298054
112,"East Rudolf, Kenya",KNM-ER 1805,Homo habilis,Homo,habilis,partial cranium ,1973,NA,1.8,1.9,Paul Abell,45,NA,36.0022946,3.6267946
